n_pages,n_potential,window,user_number_items_found
5,0,10,33.188
5,1,10,32.702
5,2,10,31.92
5,3,10,31.872
5,4,10,30.916
5,5,10,31.63
6,0,10,39.558
6,1,10,38.88
6,2,10,38.556
6,3,10,36.868
6,4,10,37.264
6,5,10,37.052
7,0,10,44.834
7,1,10,44.526
7,2,10,43.43
7,3,10,43.838
7,4,10,44.136
7,5,10,42.784
8,0,10,49.71
8,1,10,50.784
8,2,10,48.628
8,3,10,47.91
8,4,10,48.906
8,5,10,48.046
9,0,10,54.482
9,1,10,54.168
9,2,10,54.414
9,3,10,53.574
9,4,10,54.2
9,5,10,53.06
10,0,10,59.684
10,1,10,58.442
10,2,10,58.896
10,3,10,57.67
10,4,10,58.016
10,5,10,59.002
11,0,10,62.492
11,1,10,64.044
11,2,10,63.736
11,3,10,64.192
11,4,10,62.664
11,5,10,63.094
12,0,10,68.516
12,1,10,67.958
12,2,10,68.566
12,3,10,66.562
12,4,10,67.63
12,5,10,65.882
13,0,10,74.256
13,1,10,72.278
13,2,10,71.614
13,3,10,72.06
13,4,10,72.864
13,5,10,72.906
14,0,10,77.942
14,1,10,78.302
14,2,10,76.056
14,3,10,76.37
14,4,10,74.912
14,5,10,74.606
